,Country of Origin,Variety,Mean Altitude (m),Harvest Year,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Total Cup Points,Moisture,Color,Quakers,Total_Defects,Coffee_Grade
0,Taiwan,Gesha,1200.0,2020,Natural / Dry,8.58,8.67,8.17,8.25,8.5,8.58,10.0,10.0,10.0,8.5,89.25,11.0,None,0,0,Specialty
1,Kenya,SL28,1650.0,2019,Washed / Wet,8.33,8.5,8.25,8.67,8.42,8.42,10.0,10.0,10.0,8.58,89.17,11.0,Green,0,1,Specialty
2,Colombia,Typica,1800.0,2021,Washed / Wet,8.17,8.33,8.25,8.25,8.17,8.17,10.0,10.0,10.0,8.83,88.17,11.0,Green,0,0,Specialty
3,Ethiopia,Ethiopian Heirlooms,2219.0,2020,Other,8.25,8.25,7.92,8.42,7.92,8.08,10.0,10.0,10.0,8.33,87.17,11.0,Green,3,4,Premium
4,Colombia,Other,1650.0,2019,Pulped natural / honey,8.33,8.08,7.75,8.33,8.17,8.17,10.0,10.0,10.0,8.25,87.08,11.0,None,0,0,Specialty
5,Ethiopia,Other,1800.0,2020,Washed / Wet,8.0,8.33,8.17,8.0,8.0,8.17,10.0,10.0,10.0,8.25,86.92,11.0,Green,0,0,Specialty
6,Taiwan,Gesha,1200.0,2020,Natural / Dry,8.25,8.25,7.92,8.33,7.92,8.0,10.0,10.0,10.0,8.17,86.83,11.5,Green,1,0,Premium
7,Ethiopia,Other,2100.0,2020,Washed / Wet,8.25,8.17,7.92,8.17,7.83,8.0,10.0,10.0,10.0,8.25,86.58,12.0,Green,1,3,Premium
8,Ethiopia,Other,2100.0,2020,Washed / Wet,8.25,8.17,7.92,8.17,7.83,8.0,10.0,10.0,10.0,8.25,86.58,12.0,Green,1,3,Premium
9,Ethiopia,Ethiopian Heirlooms,2200.0,2020,Natural / Dry,8.0,8.08,8.0,8.08,8.08,8.08,10.0,10.0,10.0,8.08,86.42,10.0,Yellow-Green,6,5,Standard Grade
10,Ethiopia,Ethiopian Yirgacheffe,2000.0,2019,Washed / Wet,8.0,8.0,8.0,8.08,8.0,8.0,10.0,10.0,10.0,8.17,86.25,10.0,Blue-Green,0,0,Specialty
11,Ethiopia,Ethiopian Yirgacheffe,1950.0,2021,Washed / Wet,8.0,8.08,8.0,8.17,7.92,8.0,10.0,10.0,10.0,8.08,86.25,10.5,Blue-Green,6,1,Standard Grade
12,Kenya,SL28,1276.0,2020,Washed / Wet,8.25,8.0,8.0,7.92,8.0,8.17,10.0,10.0,10.0,7.83,86.17,11.5,Green,0,5,Premium
13,Taiwan,Gesha,1300.0,2020,Natural / Dry,8.17,8.0,7.83,8.0,7.83,8.08,10.0,10.0,10.0,8.17,86.08,11.5,Green,0,0,Specialty
14,Ethiopia,Ethiopian Heirlooms,2229.0,2021,Natural / Dry,8.0,8.0,7.92,8.17,8.0,8.0,10.0,10.0,10.0,8.0,86.08,8.6,Yellow-Green,1,0,Premium
15,Vietnam,Catimor,1040.0,2020,Washed / Wet,7.92,8.08,7.75,7.83,8.08,8.0,10.0,10.0,10.0,8.17,85.83,13.3,Blue-Green,0,1,Specialty
16,Taiwan,Gesha,1200.0,2019,Natural / Dry,7.83,8.17,7.92,7.83,7.92,8.0,10.0,10.0,10.0,8.08,85.75,10.0,None,0,0,Specialty
17,Ethiopia,Ethiopian Yirgacheffe,1994.0,2019,Washed / Wet,8.0,8.0,7.83,8.0,8.0,8.0,10.0,10.0,10.0,7.83,85.67,10.0,Green,0,7,Premium
18,Ethiopia,Ethiopian Heirlooms,1800.0,2020,Washed / Wet,8.17,8.0,7.67,8.0,7.75,7.83,10.0,10.0,10.0,8.0,85.42,11.0,Green,0,2,Specialty
19,"Tanzania, United Republic Of",Bourbon,1420.0,2020,Washed / Wet,7.92,7.75,7.83,7.83,8.0,7.83,10.0,10.0,10.0,7.92,85.08,13.5,Green,0,0,Specialty
20,Ethiopia,Ethiopian Yirgacheffe,1950.0,2020,Washed / Wet,7.92,7.75,7.75,8.0,8.0,7.75,10.0,10.0,10.0,7.92,85.08,9.7,Green,4,1,Exchange
21,Kenya,SL28,1700.0,2019,Washed / Wet,7.92,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,8.0,84.83,11.0,Green,0,2,Specialty
22,Guatemala,Bourbon,1722.1200000000001,2021,Washed / Wet,7.67,8.08,7.75,7.75,7.83,7.83,10.0,10.0,10.0,7.83,84.75,10.9,Green,3,3,Premium
23,Colombia,Caturra,1300.0,2020,Washed / Wet,7.92,7.75,7.67,8.0,7.83,7.83,10.0,10.0,10.0,7.75,84.75,11.0,Green,2,1,Premium
24,Nicaragua,SHG,1100.0,2019,Washed / Wet,7.83,7.67,7.58,7.83,8.0,7.83,10.0,10.0,10.0,7.92,84.67,0.0,Green,0,1,Specialty
25,Colombia,Other,1400.0,2021,Washed / Wet,7.92,7.83,7.67,8.0,7.83,7.67,10.0,10.0,10.0,7.67,84.58,11.8,Blue-Green,0,1,Specialty
26,Kenya,SL28,1450.0,2020,Washed / Wet,7.92,7.75,7.75,7.75,7.58,7.83,10.0,10.0,10.0,7.75,84.33,11.5,Green,0,3,Specialty
27,Nicaragua,Pacamara,1600.0,2019,Washed / Wet,8.0,7.83,7.75,7.75,7.67,7.58,10.0,10.0,10.0,7.67,84.25,11.0,Greenish,1,4,Premium
28,"Tanzania, United Republic Of",Orange Bourbon,1750.0,2021,Washed / Wet,7.75,7.75,7.75,7.83,7.83,7.58,10.0,10.0,10.0,7.75,84.25,11.5,Green,0,6,Premium
29,Brazil,Yellow Bourbon,1100.0,2021,Pulped natural / honey,7.75,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,7.83,84.25,11.5,Green,1,4,Premium
30,Guatemala,Caturra,1600.0,2021,Washed / Wet,7.67,7.92,7.67,7.67,7.75,7.67,10.0,10.0,10.0,7.83,84.17,10.6,Green,2,2,Premium
31,Colombia,Caturra,442.0,2020,Washed / Wet,7.83,7.75,7.58,7.58,7.92,7.75,10.0,10.0,10.0,7.75,84.17,11.0,Green,0,3,Specialty
32,Brazil,Catuai,1150.0,2020,Natural / Dry,7.75,7.75,7.58,7.75,7.92,7.67,10.0,10.0,10.0,7.67,84.08,11.5,Green,1,5,Premium
33,Honduras,Caturra,1450.0,2021,Washed / Wet,7.92,7.83,7.58,7.75,7.67,7.67,10.0,10.0,10.0,7.67,84.08,11.0,Green,0,1,Specialty
34,Guatemala,Caturra,1600.0,2020,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.58,10.0,10.0,10.0,7.75,84.08,10.6,Green,2,3,Premium
35,Burundi,Bourbon,1666.0,2020,Washed / Wet,7.58,7.75,7.75,7.67,7.83,7.75,10.0,10.0,10.0,7.75,84.08,10.0,Green,0,1,Specialty
36,Guatemala,Other,1600.0,2019,Washed / Wet,8.08,7.83,7.67,7.67,7.42,7.67,10.0,10.0,10.0,7.67,84.0,11.0,Greenish,2,5,Premium
37,Colombia,Other,1750.0,2021,Washed / Wet,7.83,7.83,7.58,7.83,7.67,7.67,10.0,10.0,10.0,7.58,84.0,11.5,Green,2,5,Premium
38,Colombia,Caturra,442.0,2021,Washed / Wet,7.92,7.83,7.5,7.83,7.67,7.58,10.0,10.0,10.0,7.67,84.0,11.5,Green,2,1,Premium
39,Guatemala,Typica,1800.0,2021,Washed / Wet,7.58,7.92,7.67,7.75,7.75,7.58,10.0,10.0,10.0,7.67,83.92,10.6,Green,2,5,Premium
40,Guatemala,Other,1550.0,2020,Washed / Wet,7.92,7.75,7.58,7.75,7.5,7.75,10.0,10.0,10.0,7.67,83.92,12.0,Green,1,0,Premium
41,Colombia,Caturra,442.0,2020,Washed / Wet,7.83,7.67,7.58,7.83,7.83,7.67,10.0,10.0,10.0,7.42,83.83,10.5,Green,1,1,Premium
42,Honduras,Other,1350.0,2020,Washed / Wet,7.75,7.75,7.75,7.67,7.5,7.67,10.0,10.0,10.0,7.75,83.83,11.5,Green,1,2,Premium
43,Guatemala,Bourbon,1500.0,2020,Natural / Dry,7.5,7.92,7.58,7.58,7.67,7.75,10.0,10.0,10.0,7.83,83.83,11.0,Green,1,4,Premium
44,Guatemala,Caturra,1600.0,2021,Washed / Wet,7.58,7.83,7.5,7.75,7.75,7.58,10.0,10.0,10.0,7.83,83.83,10.4,Green,1,5,Premium
45,Ethiopia,Ethiopian Heirlooms,1943.0,2020,Washed / Wet,7.83,7.75,7.67,7.58,7.58,7.67,10.0,10.0,10.0,7.75,83.83,11.0,Green,0,0,Specialty
46,Colombia,Caturra,1700.0,2019,Washed / Wet,7.67,7.58,7.67,7.75,7.75,7.75,10.0,10.0,10.0,7.58,83.75,12.0,Blue-Green,1,0,Premium
47,Guatemala,Bourbon,1500.0,2020,Natural / Dry,7.58,7.92,7.5,7.58,7.67,7.67,10.0,10.0,10.0,7.83,83.75,11.0,Green,1,7,Premium
48,Guatemala,Caturra,1600.0,2021,Washed / Wet,7.5,7.83,7.5,7.83,7.75,7.58,10.0,10.0,10.0,7.75,83.75,10.5,Green,2,5,Premium
49,Guatemala,Bourbon,1400.0,2020,Natural / Dry,7.58,7.92,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.75,83.67,11.0,Green,1,6,Premium
50,Taiwan,Gesha,1000.0,2019,Natural / Dry,7.92,7.58,7.5,7.25,7.92,7.92,10.0,10.0,10.0,7.58,83.67,11.0,Green,0,0,Specialty
51,Brazil,Mundo Novo,1020.0,2021,Natural / Dry,7.58,7.75,7.58,7.83,7.58,7.67,10.0,10.0,10.0,7.58,83.58,11.0,Green,0,3,Specialty
52,Brazil,Catuai,1100.0,2020,Natural / Dry,7.67,7.75,7.58,7.5,7.83,7.58,10.0,10.0,10.0,7.67,83.58,11.5,Green,0,0,Specialty
53,Kenya,SL28,1750.0,2020,Washed / Wet,7.83,7.58,7.58,7.75,7.67,7.58,10.0,10.0,10.0,7.58,83.58,11.0,Green,0,6,Premium
54,Honduras,Catuai,1250.0,2021,Washed / Wet,7.75,7.75,7.58,7.67,7.67,7.5,10.0,10.0,10.0,7.67,83.58,10.4,Green,1,9,Exchange
55,Uganda,SL28,1700.0,2019,Washed / Wet,7.75,7.67,7.5,7.75,7.58,7.58,10.0,10.0,10.0,7.75,83.58,12.0,Green,1,4,Premium
56,El Salvador,Bourbon,1200.0,2019,Washed / Wet,7.92,7.83,7.42,7.5,7.67,7.67,10.0,10.0,10.0,7.5,83.5,11.0,Green,0,1,Specialty
57,Rwanda,Bourbon,1800.0,2020,Washed / Wet,7.83,7.58,7.58,7.75,7.58,7.67,10.0,10.0,10.0,7.5,83.5,10.0,None,11,9,Standard Grade
58,Guatemala,Bourbon,1400.0,2020,Washed / Wet,7.75,7.67,7.58,7.58,7.67,7.58,10.0,10.0,10.0,7.58,83.42,11.5,Green,0,3,Specialty
59,Uganda,SL28,1800.0,2021,Washed / Wet,7.75,7.75,7.5,7.5,7.67,7.58,10.0,10.0,10.0,7.67,83.42,11.0,Green,0,2,Specialty
