iter	F1	Logloss
0	0.6522791448	0.6730314509
1	0.6917438272	0.6629894243
2	0.7081620669	0.6495751143
3	0.7306728359	0.6370937644
4	0.7408709236	0.6208726118
5	0.7555901225	0.6074838868
6	0.7625927372	0.5989807852
7	0.7631166797	0.5936791779
8	0.76920055	0.5832777123
9	0.7801334904	0.5740578348
10	0.7899192754	0.5644191562
11	0.8057187622	0.5532381682
12	0.8196400626	0.5417623025
13	0.8287831513	0.5344605219
14	0.8369290573	0.527165397
15	0.8454087563	0.5213438417
16	0.8473724884	0.5146931904
17	0.8542346841	0.5071469512
18	0.8595516382	0.5033069677
19	0.8644003056	0.4958658129
20	0.8639755118	0.4924829454
21	0.8674837227	0.4869889652
22	0.8700326358	0.4810700439
23	0.8707012488	0.4770697519
24	0.8819018405	0.4681347335
25	0.8841300191	0.4656898313
26	0.888761028	0.4584701999
27	0.8943120676	0.4538818271
28	0.8992129007	0.446499295
29	0.8986733321	0.4415827228
30	0.9046614234	0.4359605705
31	0.9082551235	0.4332037927
32	0.9124017635	0.4288513276
33	0.9140549894	0.4232321317
34	0.9130769231	0.4190932991
35	0.9145167501	0.4160095163
36	0.9156069364	0.4138144598
37	0.9210071113	0.4096330043
38	0.9213310252	0.4068237215
39	0.9250626084	0.4009987725
40	0.9302145757	0.3963827309
41	0.9318093762	0.3925230054
42	0.9335147745	0.3867220427
43	0.9360465116	0.3820750217
44	0.9385453131	0.3775838117
45	0.9419980601	0.3748862477
46	0.9425688785	0.3714416907
47	0.9438943894	0.3684016926
48	0.9458567825	0.3648856663
49	0.9475524476	0.3599012368
50	0.9492514097	0.3533683194
51	0.9516034985	0.3484697841
52	0.9570790445	0.3434369832
53	0.9577903132	0.3414332287
54	0.95915986	0.3382263983
55	0.9594857811	0.3358386651
56	0.9618082619	0.3335810101
57	0.9623414634	0.3282547561
58	0.9628761235	0.3251752585
59	0.9644392341	0.3207427525
60	0.9676287051	0.3158300601
61	0.9681578433	0.312023734
62	0.970525083	0.3098746221
63	0.9715177526	0.30681003
64	0.9724985372	0.3042697382
65	0.9724985372	0.3016890271
66	0.9730784237	0.3000375026
67	0.9730784237	0.2998792689
68	0.974648986	0.2965588436
69	0.9756002342	0.2934405363
70	0.9756097561	0.290544199
71	0.9771885358	0.2879995028
72	0.9771796372	0.2851232646
73	0.9791463652	0.2827294734
74	0.9787648549	0.28000397
75	0.9795281731	0.2779460119
76	0.9806829268	0.2748176008
77	0.9814489358	0.2733133979
78	0.9826273668	0.2716024221
79	0.9821952651	0.2690825234
80	0.9825933894	0.267873109
81	0.9833822092	0.2656982879
82	0.983971853	0.2636367153
83	0.9841580286	0.2607663091
84	0.985325768	0.2585037114
85	0.9849344551	0.2565708617
86	0.985915493	0.2537176913
87	0.9864997065	0.251151091
88	0.9864997065	0.2499449681
89	0.9868807519	0.2464665232
90	0.9880696264	0.2423148999
91	0.9884562708	0.2401913263
92	0.9892431058	0.2380943815
93	0.9900332226	0.2367279597
94	0.9906213365	0.2334744875
95	0.9904240766	0.2303378655
96	0.9917936694	0.227363741
97	0.9917936694	0.2255456008
98	0.992184447	0.2229568085
99	0.9923783467	0.2214003968
100	0.9921813917	0.2197108824
101	0.992178334	0.2179931685
102	0.9929605006	0.2152350509
103	0.9923723841	0.2129291784
104	0.9925665102	0.2112251713
105	0.9929522318	0.2084506833
106	0.9927550421	0.2062771834
107	0.9941268598	0.2034754567
108	0.9943215195	0.2024033725
109	0.9939322764	0.2010776623
110	0.9949079514	0.1991720651
111	0.9947110676	0.1967032766
112	0.9952959624	0.194475668
113	0.9954910802	0.1932101854
114	0.9952922715	0.1911189454
115	0.9950970779	0.1890678599
116	0.9956862745	0.1863037963
117	0.9958815454	0.1843594504
118	0.9958815454	0.1829854643
119	0.9960784314	0.1813941728
120	0.9964705882	0.1799984145
121	0.9964705882	0.1784833448
122	0.9962752401	0.1763718872
123	0.9962752401	0.174526563
124	0.9966686263	0.1725166786
125	0.9964733542	0.1713279441
126	0.9966699314	0.1695933622
127	0.9968652038	0.1683308402
128	0.997255978	0.1670020158
129	0.997255978	0.1658646842
130	0.997255978	0.1642934979
131	0.997255978	0.1626032173
132	0.997255978	0.1611408058
133	0.997255978	0.1602096479
134	0.9974524789	0.1594328466
135	0.997453477	0.1575544883
136	0.9976489028	0.156501451
137	0.9978444053	0.1552631794
138	0.9980399843	0.1541913944
139	0.9980399843	0.1524929743
140	0.9980399843	0.1512534187
141	0.9976470588	0.1495526073
142	0.9976470588	0.1483960209
143	0.9978435601	0.1473421888
144	0.9978435601	0.1461978597
145	0.9978435601	0.1447887237
146	0.9982363316	0.1437485531
147	0.9984326019	0.1428990552
148	0.9982370225	0.1414611771
149	0.9984326019	0.1399515989
150	0.9984326019	0.1385637083
151	0.9984326019	0.1377568432
152	0.9984326019	0.136931197
153	0.9984326019	0.1359211735
154	0.9984326019	0.1344750597
155	0.9982370225	0.133072004
156	0.9982370225	0.1321562362
157	0.9982370225	0.131506805
158	0.9982370225	0.1301609018
159	0.9982370225	0.1291936719
160	0.9984326019	0.1284256925
161	0.9980407524	0.1276232227
