iter	Accuracy	MultiClass
0	0.4961562856	1.09412279111	0.4912614275	1.08812327422	0.4912614275	1.08402244633	0.5164225081	1.07997979644	0.4931243056	1.07527215355	0.5461289389	1.071418556	6	0.5354112767	1.068027267	7	0.5773504864	1.064266848	8	0.5403043882	1.060800939	9	0.5519534895	1.057705391010	0.5519534895	1.05424181111	0.5519534895	1.051742281112	0.5412358273	1.049014671113	0.5495069337	1.046414341114	0.5504383728	1.043660511515	0.5314496042	1.040955961616	0.520731942	1.03877685117	0.5173539471	1.035792658118	0.638626226	1.030766725
19	0.5982021331	1.027555342
20	0.5982021331	1.025597513
21	0.5982021331	1.023730952
22	0.625462008	1.021728544
23	0.638626226	1.015840665224	0.638626226	1.014185537225	0.6279085638	1.008386697226	0.638626226	1.006579029
27	0.6361796702	1.005080597
28	0.638626226	1.00359322
29	0.6279085638	1.00089488
30	0.6279085638	0.9992381832
31	0.638626226	0.9978451506
32	0.6279085638	0.9957630136
33	0.6468973324	0.9923059195
34	0.6468973324	0.9911723376
35	0.6468973324	0.9900919729
36	0.6361796702	0.9886988271
37	0.6303551196	0.9837711388
38	0.6410727818	0.9814189662
39	0.6138129068	0.9751859126
40	0.624530569	0.9718741975
41	0.6352482312	0.9679736156
42	0.6352482312	0.9644740377
43	0.624530569	0.9616230637
44	0.624530569	0.960758871
45	0.624530569	0.9591561014
46	0.624530569	0.9567571006
47	0.624530569	0.9558862982
48	0.624530569	0.9546179703
49	0.637694787	0.9522788599
50	0.6484124491	0.9494088197
51	0.6484124491	0.9488020166
52	0.637694787	0.948051539
53	0.6484124491	0.9453530783
54	0.637694787	0.9427489199
55	0.6484124491	0.937977738
56	0.6484124491	0.9374613542
57	0.6484124491	0.9369696334
58	0.637694787	0.9347740234
59	0.637694787	0.9343159488
60	0.637694787	0.9338796381
61	0.637694787	0.9334642467
62	0.637694787	0.9323873182
63	0.6805654357	0.9290874846
64	0.6805654357	0.9245565864
65	0.6888365421	0.9240711995
66	0.6781188799	0.9216166029
67	0.6888365421	0.9212833754
68	0.6888365421	0.9205803568
69	0.6888365421	0.9196969995
70	0.6781188799	0.919269939
71	0.6912830979	0.9154722506
72	0.6995542043	0.9137905132
73	0.6995542043	0.9135321261
74	0.6995542043	0.913286269
75	0.6888365421	0.9118650376
76	0.7102718665	0.9074490882
77	0.7102718665	0.9072326124
78	0.7102718665	0.9070266723
79	0.7102718665	0.9059643502
80	0.7127184222	0.9014128031
81	0.7127184222	0.9001745252
82	0.7127184222	0.8992013328
83	0.7020007601	0.8961672677
84	0.7020007601	0.8939485757
85	0.7020007601	0.8900033277
86	0.7102718665	0.8872612091
87	0.7102718665	0.8847773152
88	0.7102718665	0.8833757971
89	0.7102718665	0.8822854735
90	0.7102718665	0.8812637606
91	0.7102718665	0.8811226483
92	0.7102718665	0.8797777659
93	0.7102718665	0.8767645652
94	0.7102718665	0.8761111494
95	0.7102718665	0.8724744278
96	0.7102718665	0.8711136614
97	0.7102718665	0.8709965145
98	0.7020007601	0.8684000344
99	0.7020007601	0.867287021
100	0.7020007601	0.8669818175
101	0.7020007601	0.8666925557
102	0.7020007601	0.8646595161
103	0.7020007601	0.8645694818
104	0.7020007601	0.8644244809
105	0.7020007601	0.8607529547
106	0.7020007601	0.8600137886
107	0.7127184222	0.8580726068
108	0.7127184222	0.8575218528
109	0.7234360844	0.8552445903
110	0.7234360844	0.8530631783
111	0.715164978	0.8525726045
112	0.7366003024	0.8478534623
113	0.7258826402	0.8454563998
114	0.7258826402	0.8413701713
115	0.7258826402	0.8413032405
116	0.7258826402	0.8405274785
117	0.7258826402	0.8404677706
118	0.7258826402	0.8396598162
119	0.7258826402	0.8386336871
120	0.7258826402	0.8385802114
121	0.7258826402	0.8379174855
122	0.7366003024	0.8361544245
123	0.7366003024	0.8361075575
124	0.7366003024	0.8356705529
125	0.7366003024	0.8346545406
126	0.7366003024	0.8319897633
127	0.7448714088	0.8287088443
128	0.7448714088	0.8278112885
129	0.7448714088	0.8265024103
130	0.7448714088	0.8243846055
131	0.7448714088	0.8243518137
132	0.7448714088	0.8235999341
133	0.7448714088	0.8235708969
134	0.7366003024	0.8205340562
135	0.7366003024	0.8193919821
136	0.7366003024	0.8166837101
137	0.7366003024	0.8158448001
138	0.7366003024	0.8126684493
139	0.7366003024	0.8126437855
140	0.7366003024	0.8118663905
141	0.7366003024	0.8089318307
142	0.7366003024	0.8089095089
143	0.7366003024	0.8088396268
144	0.7366003024	0.805778348
145	0.7366003024	0.8047359352
146	0.7366003024	0.8047178595
147	0.7366003024	0.8018421585
148	0.7366003024	0.8018248847
149	0.7366003024	0.7979115831
150	0.7366003024	0.7960618996
151	0.7366003024	0.7939616321
152	0.7366003024	0.7924693101
153	0.7366003024	0.7921524302
154	0.7366003024	0.788761427
155	0.7366003024	0.7867731584
156	0.7366003024	0.7858858384
157	0.7366003024	0.7828205753
158	0.7366003024	0.7828083491
159	0.7366003024	0.7812755501
160	0.7366003024	0.7804698994
161	0.7366003024	0.7804365891
162	0.7366003024	0.7780570082
163	0.7366003024	0.7756018049
164	0.7448714088	0.7733548663
165	0.7448714088	0.7715942496
166	0.7448714088	0.77019792
167	0.7448714088	0.7701877836
168	0.7448714088	0.7701274166
169	0.7448714088	0.766626311
170	0.7448714088	0.7662690981
171	0.7448714088	0.76241755
172	0.7448714088	0.7623862528
173	0.7448714088	0.7616414223
174	0.7448714088	0.761544702
175	0.7366003024	0.7600172108
176	0.755589071	0.7573075765
177	0.755589071	0.7569475091
178	0.755589071	0.7569388537
179	0.755589071	0.7534598567
180	0.755589071	0.7528603516
181	0.755589071	0.7502460901
182	0.755589071	0.7502391796
183	0.755589071	0.7495705945
184	0.755589071	0.7464359315
185	0.7448714088	0.7433699114
186	0.755589071	0.7419082751
187	0.755589071	0.7390766148
188	0.755589071	0.737646678
189	0.755589071	0.7376396738
190	0.755589071	0.7356447744
191	0.755589071	0.7342758802
192	0.755589071	0.7318822144
193	0.755589071	0.7301010333
194	0.755589071	0.7287143951
195	0.755589071	0.7263884054
196	0.755589071	0.7253154227
197	0.755589071	0.7230375107
198	0.755589071	0.7215341676
199	0.755589071	0.7214258184
200	0.755589071	0.7193661332
201	0.755589071	0.7191612395
202	0.755589071	0.7183759996
203	0.755589071	0.7161635625
204	0.755589071	0.7158058572
205	0.7715493527	0.7134119805
206	0.755589071	0.7116785032
207	0.755589071	0.7096971406
208	0.7715493527	0.7086498945
209	0.7715493527	0.706734486
210	0.7715493527	0.7047217498
211	0.7715493527	0.7041672378
212	0.7715493527	0.7017645336
213	0.7715493527	0.7011057067
214	0.7715493527	0.6993856829
215	0.7715493527	0.6973536121
216	0.7715493527	0.6957185641
217	0.8034699161	0.6933920766
218	0.8034699161	0.6916352415
219	0.8034699161	0.6891908503
220	0.8034699161	0.6864296946
221	0.8117410225	0.6835538228
222	0.8034699161	0.6824768378
223	0.8034699161	0.6802194409
224	0.8034699161	0.678412471
225	0.8034699161	0.6756226929
226	0.8034699161	0.6728515602
227	0.8117410225	0.6699965469
228	0.8117410225	0.6684847816
229	0.8117410225	0.6655253347
230	0.8117410225	0.663974086
231	0.8117410225	0.6617933331
232	0.8117410225	0.6589525545
233	0.8117410225	0.6561702644
234	0.8117410225	0.6519031343
235	0.8117410225	0.6499463431
236	0.8200121289	0.6472416874
237	0.8200121289	0.6461342814
238	0.8200121289	0.6446465687
239	0.8200121289	0.641147257
240	0.8200121289	0.6387422166
241	0.8307297911	0.6360572216
242	0.8307297911	0.6346481792
243	0.8307297911	0.6322201842
244	0.8307297911	0.6292880946
245	0.8307297911	0.6271879181
246	0.8466900728	0.6263752534
247	0.8466900728	0.6248866814
248	0.8466900728	0.6234390063
249	0.8466900728	0.6216543466
250	0.8466900728	0.6203409354
251	0.8466900728	0.6184451298
