iter	Passed	Remaining
0	0	183
1	1	170
2	1	160
3	2	154
4	3	147
5	3	144
6	4	144
7	4	147
8	5	145
9	6	144
10	6	141
11	7	140
12	7	138
13	8	137
14	8	134
15	9	133
16	9	131
17	10	130
18	10	128
19	11	127
20	11	125
21	12	124
22	12	123
23	12	121
24	13	120
25	13	119
26	14	118
27	14	116
28	15	115
29	15	114
30	16	113
31	16	112
32	16	111
33	17	110
34	17	110
35	18	109
36	18	108
37	19	107
38	19	107
39	20	106
40	20	106
41	21	105
42	21	104
43	22	103
44	22	103
45	23	102
46	23	101
47	24	101
48	24	100
49	24	99
50	25	99
51	25	98
52	26	98
53	26	97
54	27	96
55	27	96
56	28	95
57	28	95
58	29	94
59	29	93
60	30	93
61	30	92
62	31	92
63	31	91
64	31	90
65	32	90
66	32	89
67	33	89
68	33	88
69	34	88
70	34	87
71	35	86
72	35	86
73	36	85
74	36	85
75	37	84
76	37	84
77	37	83
78	38	83
79	38	82
80	39	82
81	39	81
82	40	81
83	40	80
84	41	80
85	41	79
86	42	79
87	42	78
88	43	77
89	43	77
90	44	76
91	44	76
92	44	75
93	45	75
94	45	74
95	46	74
96	46	73
97	47	73
98	47	72
99	48	72
100	48	71
101	49	71
102	49	70
103	50	70
104	50	69
105	50	69
106	51	68
107	51	68
108	52	67
109	52	67
110	53	66
111	53	66
112	54	65
113	54	65
114	55	64
115	55	64
116	56	63
117	56	63
118	57	62
119	57	62
120	57	61
121	58	61
122	58	60
123	59	60
124	59	59
125	60	59
126	60	58
127	61	58
128	61	57
129	62	57
130	62	56
131	63	56
132	63	55
133	64	55
134	64	54
135	64	54
136	65	54
137	65	53
138	66	53
139	66	52
140	67	52
141	67	51
142	68	51
143	68	50
144	69	50
145	69	49
146	70	49
147	70	48
148	71	48
149	72	48
150	72	47
151	73	47
152	73	46
153	74	46
154	74	45
155	75	45
156	75	44
157	76	44
158	76	43
159	77	43
160	77	42
161	78	42
162	78	41
163	79	41
164	79	40
165	79	40
166	80	39
167	80	39
168	81	39
169	82	38
170	83	38
171	83	38
172	84	37
173	85	37
174	85	36
175	86	36
176	86	35
177	87	35
178	87	34
179	88	34
180	88	33
181	89	33
182	89	32
183	90	32
184	90	31
185	91	31
186	91	30
187	92	30
188	92	29
189	92	29
190	93	28
191	94	28
192	95	28
193	96	27
194	96	27
195	97	26
196	98	26
197	98	25
198	99	25
199	99	24
200	100	24
201	101	24
202	101	23
203	102	23
204	103	22
205	103	22
206	104	21
207	104	21
208	105	20
209	106	20
210	106	19
211	107	19
212	107	18
213	108	18
214	108	17
215	109	17
216	109	16
217	110	16
218	110	15
219	111	15
220	111	14
221	112	14
222	112	13
223	113	13
224	113	12
225	113	12
226	114	11
227	115	11
228	115	10
229	116	10
230	116	9
231	117	9
232	117	8
233	118	8
234	118	7
235	119	7
236	119	6
237	120	6
238	120	5
239	121	5
240	121	4
241	121	4
242	122	3
243	122	3
244	123	2
245	123	2
246	124	1
247	124	1
248	125	0
249	125	0
