,Country of Origin,Variety,Mean Altitude (m),Harvest Year,Processing Method,Moisture,Color,Coffee_Grade
0,Other,Other,1200.0,2020,Natural / Dry,11.0,None,Specialty
1,Other,SL28,1650.0,2019,Washed / Wet,11.0,Green,Specialty
2,Colombia,Other,1800.0,2021,Washed / Wet,11.0,Green,Specialty
3,Ethiopia,Other,2219.0,2020,Other,11.0,Green,Premium
4,Colombia,Other,1650.0,2019,Pulped natural / honey,11.0,None,Specialty
5,Ethiopia,Other,1800.0,2020,Washed / Wet,11.0,Green,Specialty
6,Other,Other,1200.0,2020,Natural / Dry,11.5,Green,Premium
7,Ethiopia,Other,2100.0,2020,Washed / Wet,12.0,Green,Premium
8,Ethiopia,Other,2100.0,2020,Washed / Wet,12.0,Green,Premium
9,Ethiopia,Other,2200.0,2020,Natural / Dry,10.0,Yellow-Green,Grade 3 or Lower
10,Ethiopia,Other,2000.0,2019,Washed / Wet,10.0,Blue-Green,Specialty
11,Ethiopia,Other,1950.0,2021,Washed / Wet,10.5,Blue-Green,Grade 3 or Lower
12,Other,SL28,1276.0,2020,Washed / Wet,11.5,Green,Premium
13,Other,Other,1300.0,2020,Natural / Dry,11.5,Green,Specialty
14,Ethiopia,Other,2229.0,2021,Natural / Dry,8.6,Yellow-Green,Premium
15,Other,Other,1040.0,2020,Washed / Wet,13.3,Blue-Green,Specialty
16,Other,Other,1200.0,2019,Natural / Dry,10.0,None,Specialty
17,Ethiopia,Other,1994.0,2019,Washed / Wet,10.0,Green,Premium
18,Ethiopia,Other,1800.0,2020,Washed / Wet,11.0,Green,Specialty
19,Other,Bourbon,1420.0,2020,Washed / Wet,13.5,Green,Specialty
20,Ethiopia,Other,1950.0,2020,Washed / Wet,9.7,Green,Grade 3 or Lower
21,Other,SL28,1700.0,2019,Washed / Wet,11.0,Green,Specialty
22,Guatemala,Bourbon,1722.12,2021,Washed / Wet,10.9,Green,Premium
23,Colombia,Caturra,1300.0,2020,Washed / Wet,11.0,Green,Premium
24,Other,Other,1100.0,2019,Washed / Wet,0.0,Green,Specialty
25,Colombia,Other,1400.0,2021,Washed / Wet,11.8,Blue-Green,Specialty
26,Other,SL28,1450.0,2020,Washed / Wet,11.5,Green,Specialty
27,Other,Other,1600.0,2019,Washed / Wet,11.0,Greenish,Premium
28,Other,Other,1750.0,2021,Washed / Wet,11.5,Green,Premium
29,Brazil,Other,1100.0,2021,Pulped natural / honey,11.5,Green,Premium
30,Guatemala,Caturra,1600.0,2021,Washed / Wet,10.6,Green,Premium
31,Colombia,Caturra,442.0,2020,Washed / Wet,11.0,Green,Specialty
