,Mean Altitude (m),Harvest Year,Moisture,Country of Origin_Brazil,Country of Origin_Colombia,Country of Origin_Costa Rica,Country of Origin_Ethiopia,Country of Origin_Guatemala,Country of Origin_Other,Variety_Bourbon,Variety_Catuai,Variety_Caturra,Variety_Other,Variety_SL28,Processing Method_Natural / Dry,Processing Method_Other,Processing Method_Pulped natural / honey,Processing Method_Washed / Wet,Color_Blue-Green,Color_Green,Color_Greenish,Color_None,Color_Yellow-Green
0,1200.0,2020,11.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
1,1650.0,2019,11.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
2,1800.0,2021,11.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
3,2219.0,2020,11.0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4,1650.0,2019,11.0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
5,1800.0,2020,11.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
6,1200.0,2020,11.5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
7,2100.0,2020,12.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
8,2100.0,2020,12.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
9,2200.0,2020,10.0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
10,2000.0,2019,10.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
11,1950.0,2021,10.5,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
12,1276.0,2020,11.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
13,1300.0,2020,11.5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
14,2229.0,2021,8.6,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
15,1040.0,2020,13.3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
16,1200.0,2019,10.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
17,1994.0,2019,10.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
18,1800.0,2020,11.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
19,1420.0,2020,13.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
20,1950.0,2020,9.7,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
21,1700.0,2019,11.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
22,1722.12,2021,10.9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
23,1300.0,2020,11.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
24,1100.0,2019,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
25,1400.0,2021,11.8,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
26,1450.0,2020,11.5,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
27,1600.0,2019,11.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
28,1750.0,2021,11.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
29,1100.0,2021,11.5,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
30,1600.0,2021,10.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
31,442.0,2020,11.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
32,1150.0,2020,11.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
33,1450.0,2021,11.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
34,1600.0,2020,10.6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
35,1666.0,2020,10.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
36,1600.0,2019,11.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
37,1750.0,2021,11.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
38,442.0,2021,11.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
39,1800.0,2021,10.6,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
40,1550.0,2020,12.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
41,442.0,2020,10.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
42,1350.0,2020,11.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
43,1500.0,2020,11.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
44,1600.0,2021,10.4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
45,1943.0,2020,11.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
46,1700.0,2019,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
47,1500.0,2020,11.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
48,1600.0,2021,10.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
49,1400.0,2020,11.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
50,1000.0,2019,11.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
51,1020.0,2021,11.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
52,1100.0,2020,11.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
53,1750.0,2020,11.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
54,1250.0,2021,10.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
55,1700.0,2019,12.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
56,1200.0,2019,11.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
57,1800.0,2020,10.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
58,1400.0,2020,11.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
59,1800.0,2021,11.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
60,1600.0,2021,11.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
61,1600.0,2020,10.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
62,1000.0,2020,11.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
63,1650.0,2021,11.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
64,1300.0,2021,11.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
65,1100.0,2020,11.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
66,982.5,2020,10.3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
67,1850.0,2021,9.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
68,1100.0,2020,11.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
69,1500.0,2020,10.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
70,1700.0,2019,12.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
71,1040.0,2020,11.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
72,1600.0,2021,10.5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
73,1400.0,2020,10.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
74,1800.0,2020,11.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
75,1550.0,2020,11.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
76,1850.0,2021,10.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
77,1420.0,2021,10.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
78,1850.0,2020,10.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
79,1500.0,2020,10.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
80,1500.0,2020,10.0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
81,1600.0,2021,10.8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
82,1700.0,2019,11.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
83,1400.0,2020,11.9,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0
84,1700.0,2020,12.3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
85,900.0,2020,11.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
86,1100.0,2021,11.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
87,1574.0,2020,10.5,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
88,1850.0,2021,9.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
89,1850.0,2021,9.9,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
90,1200.0,2020,12.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
91,1350.0,2021,11.6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
92,1650.0,2021,9.9,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
93,1200.0,2020,10.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
94,1100.0,2021,12.0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
95,1250.0,2021,11.5,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
96,1550.0,2020,12.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
97,1200.0,2021,10.5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
98,1150.0,2020,11.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
99,1350.0,2020,11.3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
100,1000.0,2019,11.0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
101,1020.0,2021,11.0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
102,1100.0,2020,11.5,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
103,1750.0,2020,11.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
104,1250.0,2021,10.4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
105,1700.0,2019,12.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
106,1200.0,2019,11.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
107,1800.0,2020,10.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
108,1400.0,2020,11.5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
109,1800.0,2021,11.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
