iter	Accuracy	MultiClass
0	0.4428554431	1.093978135
1	0.4428554431	1.090831118
2	0.426777374	1.08774056
3	0.4415981966	1.084619145
4	0.4415981966	1.081842755
5	0.4298038532	1.079181891
6	0.4298038532	1.076631571
7	0.4298038532	1.074532447
8	0.4319958192	1.071896779
9	0.4298038532	1.069900594
10	0.4298038532	1.067723842
11	0.4415981966	1.065519174
12	0.4415981966	1.063574986
13	0.4459821287	1.061339865
14	0.4459821287	1.059160844
15	0.521655061	1.056909649
16	0.521655061	1.055185099
17	0.521655061	1.053814845
18	0.5120526837	1.052217591
19	0.5035963926	1.050648797
20	0.484391638	1.048742647
21	0.484391638	1.04755336
22	0.484391638	1.04595991
23	0.5507737661	1.044059378
24	0.5507737661	1.042790945
25	0.5507737661	1.041574393
26	0.4821996719	1.039992801
27	0.5411713888	1.038904173
28	0.5071458117	1.036216233
29	0.5071458117	1.035177391
30	0.5071458117	1.034175411
31	0.5071458117	1.033214337
32	0.5071458117	1.032292488
33	0.5071458117	1.031408255
34	0.5123642569	1.030473023
35	0.5677865547	1.029109978
36	0.5847993433	1.028224877
37	0.575196966	1.027450654
38	0.5847993433	1.026668102
39	0.5847993433	1.026085466
40	0.544197868	1.02460394
41	0.5677865547	1.023589199
42	0.5677865547	1.022946698
43	0.606196064	1.022117716
44	0.6009776188	1.020678932
45	0.6424136072	1.017383942
46	0.635003196	1.016391451
47	0.6563999167	1.014805258
48	0.6149639283	1.011331558
49	0.6245663056	1.010769255
50	0.6415790942	1.010018462
51	0.6415790942	1.009542403
52	0.6489895054	1.008878488
53	0.6489895054	1.008446859
54	0.6489895054	1.007926758
55	0.6489895054	1.007528556
56	0.6393871281	1.007173088
57	0.6489895054	1.003103232
58	0.6415790942	1.002534537
59	0.6511814715	1.002122596
60	0.6459630263	1.001373645
61	0.6459630263	1.001051194
62	0.636360649	1.000506499
63	0.6511814715	1.000106517
64	0.6267582716	0.9995170462
65	0.6267582716	0.9992941473
66	0.6459630263	0.9975904207
67	0.6481549923	0.995940293
68	0.6481549923	0.995690842
69	0.6481549923	0.9954515929
70	0.638552615	0.992816773
71	0.638552615	0.9925943793
72	0.638552615	0.9923810818
73	0.638552615	0.992029234
74	0.6459630263	0.9903879008
75	0.6459630263	0.9901943565
76	0.6437710602	0.9887294676
77	0.6437710602	0.9885497418
78	0.6703862261	0.988282484
79	0.6651677809	0.9867326264
80	0.6651677809	0.9865705067
81	0.6651677809	0.9864150281
82	0.6555654036	0.9862659187
83	0.6651677809	0.9859987155
84	0.6651677809	0.9857028562
85	0.6629758149	0.9854466937
86	0.6651677809	0.9850253002
87	0.6651677809	0.9836130219
88	0.6651677809	0.9832906338
89	0.6651677809	0.9831583244
90	0.6651677809	0.9828661929
91	0.6651677809	0.9824711585
92	0.6651677809	0.9822698302
93	0.6651677809	0.9821732992
94	0.6651677809	0.9818809242
95	0.6651677809	0.9812379752
96	0.6555654036	0.9786468168
97	0.6651677809	0.9782546327
98	0.6651677809	0.9778557844
99	0.6555654036	0.9770878923
100	0.6555654036	0.9769514932
101	0.6555654036	0.9768814327
102	0.6555654036	0.9767212516
103	0.6555654036	0.9766501951
104	0.6555654036	0.9765820616
105	0.6555654036	0.9756826494
106	0.6651677809	0.9750092894
107	0.6651677809	0.9746890117
108	0.6651677809	0.974630372
109	0.6651677809	0.974554346
110	0.6651677809	0.9744960853
111	0.6651677809	0.9744431169
112	0.6651677809	0.9739996908
113	0.6651677809	0.9738448049
114	0.6651677809	0.9737977874
115	0.6651677809	0.9736344533
116	0.6651677809	0.9735799451
117	0.6651677809	0.973538406
118	0.6651677809	0.9734985806
119	0.6651677809	0.9734498546
120	0.6725781922	0.9730194322
121	0.6725781922	0.9727862395
122	0.6725781922	0.9727501377
123	0.6725781922	0.9727155258
124	0.6629758149	0.97190698
125	0.6533734375	0.9717616329
126	0.6629758149	0.9715657576
127	0.6629758149	0.9714361818
128	0.6629758149	0.97101214
129	0.6533734375	0.9700585843
130	0.6533734375	0.9698782345
131	0.6555654036	0.9694797483
132	0.6459630263	0.9675572553
133	0.6459630263	0.967530812
134	0.6459630263	0.967241951
135	0.6459630263	0.9669638191
136	0.6555654036	0.966655594
137	0.6459630263	0.9666143625
138	0.6459630263	0.9665767784
139	0.6459630263	0.9648908814
140	0.6459630263	0.9648703841
141	0.6459630263	0.964585827
142	0.6459630263	0.9644108229
143	0.6459630263	0.9643919011
144	0.6459630263	0.9642100054
145	0.6555654036	0.9638227481
146	0.6459630263	0.9635716503
147	0.6555654036	0.9633780382
148	0.6289502377	0.9611714735
149	0.6289502377	0.9607097527
150	0.6289502377	0.9606943298
151	0.6289502377	0.9605174442
152	0.6289502377	0.9603921239
153	0.636360649	0.9603788221
154	0.636360649	0.9603660722
155	0.636360649	0.9600936044
156	0.638552615	0.9581403142
157	0.638552615	0.9562174659
158	0.638552615	0.9559788646
159	0.6289502377	0.9547544713
160	0.6289502377	0.9542965148
161	0.6289502377	0.9541064204
162	0.6289502377	0.9540947957
163	0.6289502377	0.9539957493
164	0.6289502377	0.9539854129
165	0.638552615	0.9521780093
166	0.638552615	0.952127782
167	0.638552615	0.9520009833
168	0.638552615	0.9517510737
169	0.638552615	0.9501896781
170	0.638552615	0.9500419154
171	0.638552615	0.949968486
172	0.638552615	0.9484601228
173	0.638552615	0.9482625373
174	0.638552615	0.9459534114
175	0.638552615	0.9458248199
176	0.638552615	0.9457746836
177	0.638552615	0.9455640649
178	0.638552615	0.9438729297
179	0.638552615	0.9435532151
180	0.638552615	0.9433592406
181	0.638552615	0.9431001406
182	0.638552615	0.9425585141
183	0.638552615	0.9424430252
184	0.638552615	0.9422495076
185	0.638552615	0.9405325999
186	0.638552615	0.9397766503
187	0.638552615	0.9395500298
188	0.638552615	0.9394377263
189	0.638552615	0.9392009461
190	0.638552615	0.9389255739
191	0.638552615	0.938202159
192	0.638552615	0.9356159715
193	0.638552615	0.9354144408
194	0.638552615	0.9354088389
195	0.638552615	0.9350940186
196	0.638552615	0.9326134166
197	0.6481549923	0.9305844481
198	0.6481549923	0.9305062564
199	0.6481549923	0.9289767567
200	0.6481549923	0.9275602156
201	0.638552615	0.9259296703
202	0.6481549923	0.9240975302
203	0.6481549923	0.9239282416
204	0.6481549923	0.9238472754
205	0.6481549923	0.921670159
206	0.6481549923	0.9195758079
207	0.6481549923	0.9181992531
208	0.6555654036	0.918058125
209	0.6555654036	0.9168274909
210	0.6555654036	0.9167015754
211	0.6629758149	0.9147349938
212	0.6555654036	0.9128425807
213	0.6629758149	0.9115971792
214	0.6555654036	0.9107797932
215	0.6555654036	0.9089701435
216	0.6555654036	0.9085029204
217	0.6555654036	0.9083892229
218	0.6555654036	0.9078637715
219	0.6555654036	0.9077132591
220	0.6555654036	0.9076669015
221	0.6555654036	0.9074722806
222	0.6555654036	0.9058801392
223	0.6555654036	0.9046727754
224	0.6555654036	0.9046244095
225	0.6555654036	0.9033280932
226	0.6555654036	0.9031798466
227	0.6629758149	0.9022446514
228	0.6629758149	0.9020710826
229	0.6629758149	0.9003858947
230	0.6629758149	0.9000328632
231	0.6629758149	0.8995828699
232	0.6629758149	0.8984991714
233	0.6555654036	0.8970880636
234	0.6629758149	0.8962135406
235	0.6629758149	0.8960712448
236	0.6629758149	0.8960286865
237	0.6629758149	0.8958249892
238	0.6629758149	0.8953353417
239	0.6629758149	0.8951569412
240	0.6629758149	0.8948889696
241	0.6629758149	0.8948866344
242	0.6629758149	0.8939540187
243	0.6629758149	0.8923441902
244	0.6629758149	0.89224497
245	0.6629758149	0.8907215975
246	0.6629758149	0.890390752
247	0.6629758149	0.890073722
248	0.6629758149	0.8893839843
249	0.6629758149	0.889381962
