iter	Passed	Remaining
0	0	181
1	3	466
2	5	432
3	5	366
4	6	321
5	7	291
6	7	273
7	8	266
8	9	259
9	10	249
10	11	239
11	11	230
12	12	223
13	13	219
14	13	214
15	14	210
16	15	208
17	15	205
18	16	204
19	17	206
20	26	285
21	27	283
22	28	278
23	29	275
24	29	269
25	31	268
26	32	271
27	34	273
28	35	269
29	36	268
30	37	266
31	39	269
32	40	265
33	41	264
34	43	266
35	44	262
36	45	259
37	45	256
38	46	252
39	47	250
40	48	247
41	49	244
42	50	240
43	50	238
44	51	235
45	52	231
46	52	228
47	53	225
48	54	222
49	55	223
50	56	222
51	58	221
52	58	218
53	59	216
54	60	215
55	61	214
56	63	213
57	64	212
58	64	209
59	65	207
60	66	206
61	67	206
62	68	204
63	69	202
64	70	200
65	71	198
66	71	195
67	72	193
68	72	191
69	73	189
70	74	187
71	75	185
72	75	184
73	76	182
74	77	180
75	77	178
76	80	180
77	81	180
78	82	178
79	82	176
80	83	174
81	84	172
82	84	170
83	85	168
84	86	167
85	88	167
86	88	166
87	89	164
88	90	162
89	90	161
90	91	159
91	93	159
92	94	159
93	95	158
94	96	156
95	96	155
96	97	153
97	98	152
98	99	152
99	100	151
100	101	149
101	102	148
102	102	146
103	104	146
104	106	146
105	106	145
106	107	143
107	108	142
108	108	140
109	109	139
110	110	138
111	111	136
112	111	135
113	112	134
114	113	132
115	113	131
116	114	129
117	114	128
118	115	126
119	116	125
120	117	125
121	118	123
122	118	122
123	119	121
124	119	119
125	120	118
126	120	117
127	121	115
128	122	115
129	123	114
130	124	112
131	124	111
132	125	110
133	126	109
134	126	107
135	127	106
136	127	105
137	129	104
138	129	103
139	130	102
140	131	101
141	131	100
142	132	98
143	132	97
144	133	96
145	134	95
146	135	94
147	136	93
148	136	92
149	137	91
150	137	90
151	138	89
152	139	88
153	140	87
154	141	86
155	142	85
156	143	84
157	143	83
158	144	82
159	145	81
160	145	80
161	146	79
162	147	78
163	147	77
164	148	76
165	149	75
166	149	74
167	150	73
168	151	72
169	152	71
170	153	70
171	153	69
172	154	68
173	155	67
174	156	67
175	157	66
176	159	65
177	160	64
178	161	64
179	162	63
180	163	62
181	164	61
182	165	60
183	166	59
184	167	58
185	168	57
186	169	57
187	170	56
188	170	55
189	171	54
190	174	53
191	175	52
192	175	51
193	176	51
194	178	50
195	181	50
196	184	49
197	185	48
198	186	47
199	187	46
200	188	45
201	188	44
202	189	43
203	190	42
204	191	41
205	191	40
206	192	40
207	194	39
208	196	38
209	197	37
210	198	36
211	198	35
212	199	34
213	199	33
214	200	32
215	201	31
216	202	30
217	202	29
218	203	28
219	203	27
220	204	26
221	205	25
222	205	24
223	206	23
224	207	23
225	207	22
226	208	21
227	209	20
228	209	19
229	210	18
230	210	17
231	211	16
232	212	15
233	212	14
234	213	13
235	213	12
236	214	11
237	215	10
238	215	9
239	216	9
240	216	8
241	217	7
242	218	6
243	218	5
244	219	4
245	220	3
246	221	2
247	221	1
248	222	0
249	222	0
